curva,n_puntos,mejor_metodo,r2_mejor,poly_r2,poly_rmse,poly_mae,poly_max_ae,poly_n_params,poly_degree,gauss_r2,gauss_rmse,gauss_mae,gauss_max_ae,gauss_n_params,gauss_n_campanas,spline_r2,spline_rmse,spline_mae,spline_max_ae,spline_n_params,spline_n_knots
1,1000,gaussianas,0.999808,0.998558,0.605275,0.507003,1.620804,15,14,0.999808,0.220796,0.163115,0.993206,25,8,0.999606,0.316222,0.260024,0.986392,22,17
2,1000,gaussianas,0.999839,0.989788,1.492052,1.129767,3.945981,21,20,0.999839,0.187608,0.151662,0.834483,25,8,0.999541,0.316228,0.263644,0.731023,20,15
3,1000,gaussianas,0.999996,0.999667,0.393149,0.29787,1.002031,21,20,0.999996,0.043979,0.03477,0.102228,25,8,0.999785,0.316084,0.218901,0.821624,16,11
4,1000,polinomio,0.999999,0.999999,0.011838,0.010019,0.044601,21,20,0.999977,0.057835,0.029886,0.717324,25,8,0.999309,0.316227,0.274215,0.58892,10,5
5,1000,gaussianas,0.999978,0.999096,0.342603,0.29417,1.180947,21,20,0.999978,0.05287,0.038776,0.135915,25,8,0.999229,0.316226,0.270464,0.608187,14,9
6,1000,gaussianas,1.0,0.999999,0.025722,0.022129,0.056224,20,19,1.0,0.012672,0.010036,0.080141,25,8,0.999874,0.316233,0.263763,1.100354,13,8
7,1000,polinomio,1.0,1.0,0.002388,0.002048,0.007075,21,20,0.999995,0.033299,0.019134,0.402259,25,8,0.999571,0.316226,0.2669,1.177815,8,3
8,1000,gaussianas,0.999853,0.999231,0.353001,0.290029,1.114076,21,20,0.999853,0.154187,0.100975,1.342794,25,8,0.999383,0.316236,0.247436,0.760279,18,13
9,1000,polinomio,0.999728,0.999728,0.130624,0.105147,0.290351,20,19,0.999682,0.141236,0.061716,1.638588,25,8,0.998404,0.316226,0.259484,1.064792,10,5
10,1000,gaussianas,0.999936,0.999749,0.177388,0.142663,0.80293,19,18,0.999936,0.089483,0.071294,0.216165,25,8,0.999203,0.316236,0.259877,0.967107,14,9
11,1000,gaussianas,0.999995,0.998025,0.822705,0.639323,4.089097,21,20,0.999995,0.042339,0.029976,0.281121,25,8,0.999708,0.316275,0.249991,1.138303,17,12
12,1000,gaussianas,0.999992,0.999965,0.128632,0.110771,0.322648,20,19,0.999992,0.062224,0.036928,0.625608,25,8,0.999788,0.31622,0.247662,0.722814,13,8
13,1000,gaussianas,0.999897,0.993704,0.780551,0.581218,2.07925,21,20,0.999897,0.099689,0.081889,0.21909,25,8,0.998967,0.316219,0.274651,0.995573,18,13
14,1000,gaussianas,0.999773,0.999542,0.398235,0.323966,0.853456,21,20,0.999773,0.280283,0.180043,2.215981,25,8,0.999711,0.316213,0.257947,0.790576,20,15
15,1000,gaussianas,0.999987,0.999139,0.385432,0.279446,2.053613,21,20,0.999987,0.046964,0.030987,0.249284,25,8,0.99942,0.31623,0.249329,0.879628,16,11
16,1000,polinomio,0.999908,0.999908,0.138401,0.104568,0.391655,19,18,0.999807,0.200293,0.097162,2.260156,25,8,0.99952,0.316125,0.258083,0.899882,14,9
17,1000,gaussianas,0.999999,0.999992,0.036168,0.031266,0.120907,21,20,0.999999,0.015243,0.009873,0.111696,25,8,0.999401,0.316202,0.246291,0.747778,12,7
18,1000,gaussianas,0.99996,0.998906,0.532532,0.403443,1.591471,19,18,0.99996,0.101782,0.073845,0.25604,25,8,0.999614,0.316256,0.210569,1.03729,17,12
19,1000,gaussianas,1.0,0.999984,0.048769,0.038501,0.167856,21,20,1.0,0.003213,0.00246,0.009417,25,8,0.999311,0.316349,0.251172,1.073751,11,6
20,1000,spline,0.999614,0.998727,0.574238,0.466871,1.141318,20,19,0.999386,0.39863,0.290221,2.347777,25,8,0.999614,0.31623,0.257047,0.759855,20,15
21,1000,gaussianas,0.999991,0.999421,0.372004,0.268219,1.656847,21,20,0.999991,0.046643,0.033178,0.118185,25,8,0.999582,0.316212,0.265103,1.082466,15,10
22,1000,gaussianas,0.999923,0.999263,0.477332,0.381994,1.872478,21,20,0.999923,0.154172,0.115856,0.400594,25,8,0.999677,0.316225,0.254926,0.759823,20,15
23,1000,gaussianas,0.999984,0.999909,0.166023,0.12999,0.820941,21,20,0.999984,0.070798,0.049906,0.232195,25,8,0.999672,0.316276,0.260546,0.707626,16,11
24,1000,gaussianas,0.999994,0.999821,0.205071,0.15406,0.70345,21,20,0.999994,0.036334,0.02571,0.132366,25,8,0.999574,0.316239,0.266452,0.683137,16,11
25,1000,gaussianas,0.999996,0.999924,0.187259,0.12675,0.517514,18,17,0.999996,0.040357,0.027881,0.109761,25,8,0.999782,0.316266,0.252798,0.887576,16,11
26,1000,gaussianas,0.999954,0.999211,0.377173,0.322351,1.044422,21,20,0.999954,0.090679,0.073429,0.205973,25,8,0.999446,0.316083,0.263839,0.667493,21,16
27,1000,gaussianas,0.999875,0.997053,0.914145,0.696072,2.587996,19,18,0.999875,0.188199,0.141714,0.534315,25,8,0.999647,0.316226,0.245859,1.037601,18,13
28,1000,polinomio,0.999994,0.999994,0.024973,0.020664,0.058912,20,19,0.999833,0.133721,0.079782,1.350893,25,8,0.999064,0.316179,0.274321,0.703689,9,4
29,1000,spline,0.99939,0.994652,0.936442,0.731118,2.2254,21,20,0.997449,0.646685,0.444558,3.647757,25,8,0.99939,0.316334,0.252252,1.125376,22,17
30,1000,spline,0.999641,0.994744,1.210822,0.939436,2.943242,19,18,0.999386,0.413876,0.360605,1.015189,25,8,0.999641,0.316317,0.238635,0.900756,23,18
31,1000,polinomio,1.0,1.0,0.00431,0.003099,0.012264,21,20,0.999988,0.065831,0.043009,0.68505,25,8,0.999717,0.316236,0.270305,0.93992,8,3
32,1000,gaussianas,1.0,0.999998,0.011649,0.010062,0.036236,20,19,1.0,0.001616,0.001332,0.004655,22,7,0.999753,0.131784,0.099095,0.523796,7,2
33,1000,polinomio,1.0,1.0,0.001195,0.000928,0.003142,21,20,0.999967,0.066152,0.041446,0.755028,25,8,0.999934,0.09372,0.074541,0.398614,7,2
34,1000,gaussianas,0.999914,0.999209,0.364231,0.301275,0.932018,19,18,0.999914,0.120384,0.093197,0.409667,25,8,0.999403,0.316318,0.26605,0.757238,18,13
35,1000,gaussianas,0.999983,0.999529,0.40171,0.34115,0.977224,19,18,0.999983,0.075754,0.064375,0.285184,22,7,0.999708,0.316227,0.261354,0.835876,16,11
36,1000,gaussianas,0.999978,0.999521,0.349977,0.297244,1.181554,20,19,0.999978,0.074699,0.058282,0.20093,25,8,0.999609,0.316213,0.258789,0.853023,19,14
37,1000,gaussianas,0.999873,0.999532,0.24148,0.20591,1.129682,19,18,0.999873,0.12592,0.080014,0.835829,25,8,0.999198,0.316129,0.257328,0.772731,16,11
38,1000,polinomio,1.0,1.0,0.003529,0.002901,0.013251,20,19,0.999987,0.062557,0.037493,0.476428,22,7,0.999657,0.316287,0.268073,1.068661,8,3
39,1000,polinomio,0.99996,0.99996,0.125384,0.108478,0.571354,20,19,0.999899,0.198824,0.127808,1.395914,25,8,0.999743,0.316228,0.259233,0.717903,14,9
40,1000,polinomio,0.999949,0.999949,0.141091,0.119834,0.430622,19,18,0.999949,0.141583,0.091065,0.579349,25,8,0.999744,0.316308,0.269254,0.662812,19,14
41,1000,spline,0.999622,0.996517,0.960359,0.773164,2.16671,20,19,0.998988,0.517668,0.338429,4.182269,25,8,0.999622,0.316229,0.254912,0.707477,26,21
42,1000,gaussianas,0.999539,0.999225,0.306237,0.238394,0.949336,19,18,0.999539,0.23617,0.125859,2.675028,25,8,0.999175,0.316102,0.260322,0.785243,17,12
43,1000,gaussianas,0.999948,0.996022,1.135979,0.834964,3.226466,21,20,0.999948,0.12964,0.074658,0.849355,25,8,0.999692,0.316253,0.270081,0.918975,18,13
44,1000,polinomio,0.999978,0.999978,0.050705,0.039917,0.149623,21,20,0.99996,0.068694,0.045521,0.548477,25,8,0.999142,0.316213,0.253761,0.751771,14,9
45,1000,gaussianas,0.999888,0.995928,1.238789,1.001763,2.738075,21,20,0.999888,0.205017,0.158388,1.115824,25,8,0.999734,0.316339,0.269335,0.590498,21,16
46,1000,gaussianas,0.99978,0.998201,0.868245,0.702494,2.456819,21,20,0.99978,0.303593,0.233829,1.349712,25,8,0.999762,0.316094,0.262986,0.733815,25,20
47,1000,gaussianas,0.999999,0.998042,0.464464,0.361371,1.152039,21,20,0.999999,0.01103,0.008246,0.094321,25,8,0.999092,0.316224,0.277371,0.750957,14,9
48,1000,polinomio,0.999994,0.999994,0.046313,0.039055,0.142031,19,18,0.999959,0.124323,0.086584,1.267479,25,8,0.999734,0.316144,0.255927,1.483209,10,5
49,1000,spline,0.999674,0.997613,0.856285,0.650956,2.616512,21,20,0.998753,0.61889,0.374914,4.581882,25,8,0.999674,0.316376,0.251416,1.181529,20,15
50,1000,polinomio,0.999952,0.999952,0.12923,0.090826,0.378746,21,20,0.999789,0.270226,0.16773,1.609534,25,8,0.99971,0.316363,0.265639,0.952667,14,9
51,1000,gaussianas,0.999893,0.998184,0.403014,0.340278,0.949598,19,18,0.999893,0.097757,0.080009,0.328039,25,8,0.998882,0.316222,0.241404,0.862876,17,12
52,1000,gaussianas,1.0,0.999999,0.010829,0.009097,0.035611,21,20,1.0,0.001613,0.001265,0.00999,25,8,0.999216,0.316237,0.265617,0.681117,8,3
53,1000,gaussianas,0.999917,0.997169,0.351494,0.281178,1.040273,21,20,0.999917,0.060194,0.0415,0.328663,25,8,0.997708,0.316234,0.265789,0.650849,16,11
54,1000,spline,0.999394,0.996327,0.778565,0.661279,1.837331,19,18,0.99892,0.422184,0.344341,2.582761,25,8,0.999394,0.3162,0.255001,0.730785,28,23
55,1000,gaussianas,0.999999,0.999997,0.034692,0.027339,0.10005,20,19,0.999999,0.017977,0.008915,0.190441,25,8,0.99971,0.316227,0.274542,0.64561,12,7
56,1000,polinomio,1.0,1.0,0.006093,0.005326,0.022473,19,18,0.999983,0.048607,0.028197,0.51556,25,8,0.999274,0.31629,0.267789,1.235732,8,3
57,1000,gaussianas,1.0,0.999999,0.010634,0.008454,0.051515,21,20,1.0,0.000532,0.000389,0.002145,25,8,0.999351,0.316156,0.266422,0.683239,8,3
58,1000,gaussianas,0.999701,0.997247,0.792268,0.628384,1.911856,21,20,0.999701,0.261136,0.179632,1.758526,25,8,0.999561,0.316363,0.261222,0.815504,17,12
59,1000,polinomio,0.99999,0.99999,0.030142,0.023902,0.111597,19,18,0.999869,0.108781,0.064305,1.315198,25,8,0.998893,0.316245,0.253544,1.187976,12,7
60,1000,polinomio,1.0,1.0,0.010219,0.00883,0.031956,21,20,1.0,0.003002,0.00237,0.008132,25,8,0.999762,0.316195,0.278702,0.586129,10,5
61,1000,spline,0.999058,0.991077,0.973468,0.684232,2.733946,21,20,0.996825,0.58067,0.337508,5.310485,25,8,0.999058,0.316225,0.250422,0.901924,22,17
62,1000,gaussianas,0.999937,0.999213,0.277389,0.232984,0.670815,20,19,0.999937,0.078468,0.056948,0.494856,25,8,0.998978,0.316214,0.262398,0.622567,16,11
63,1000,gaussianas,0.999974,0.999065,0.54359,0.434182,1.496525,21,20,0.999974,0.091251,0.0768,0.195397,25,8,0.999684,0.316204,0.226087,0.913622,17,12
64,1000,gaussianas,0.999386,0.996097,0.789884,0.665173,1.833738,21,20,0.999386,0.313317,0.202939,2.062417,25,8,0.999374,0.316226,0.24921,1.22678,20,15
65,1000,gaussianas,1.0,0.999999,0.020694,0.017551,0.041689,20,19,1.0,0.003062,0.002501,0.008176,25,8,0.999653,0.316244,0.275322,0.843127,12,7
66,1000,gaussianas,0.999996,0.999929,0.201037,0.153407,0.559196,21,20,0.999996,0.045553,0.030773,0.202094,25,8,0.999825,0.31623,0.24543,0.835528,14,9
67,1000,polinomio,0.99999,0.99999,0.048234,0.037292,0.249638,21,20,0.999804,0.217545,0.130451,2.049729,25,8,0.999586,0.31625,0.266541,0.643497,12,7
68,1000,gaussianas,1.0,0.999944,0.109055,0.086535,0.306524,21,20,1.0,0.007483,0.00626,0.023786,25,8,0.999529,0.316217,0.272312,0.946006,13,8
69,1000,polinomio,1.0,1.0,0.004342,0.0038,0.013749,20,19,1.0,0.001923,0.001574,0.00823,25,8,0.999922,0.18898,0.140491,0.414225,7,2
70,1000,gaussianas,0.999999,0.999914,0.111404,0.087789,0.415603,21,20,0.999999,0.009546,0.008048,0.025723,25,8,0.99931,0.316089,0.257763,0.694163,13,8
71,1000,spline,0.999491,0.997752,0.664516,0.571999,1.786508,21,20,0.998394,0.561548,0.309977,4.481873,25,8,0.999491,0.316229,0.267812,1.048122,20,15
72,1000,polinomio,1.0,1.0,0.003085,0.00254,0.006489,19,18,1.0,0.005564,0.0033,0.046024,25,8,0.999831,0.179933,0.146346,0.836729,7,2
73,1000,gaussianas,0.99992,0.99965,0.300779,0.220908,0.660573,21,20,0.99992,0.143698,0.11452,0.38168,25,8,0.999613,0.316196,0.267736,1.027554,20,15
74,1000,polinomio,0.999693,0.999693,0.216636,0.181948,0.495582,21,20,0.999685,0.219376,0.147935,2.20191,25,8,0.999346,0.316256,0.261048,0.65556,18,13
75,1000,spline,0.999483,0.989671,1.413982,1.145405,3.403135,21,20,0.999387,0.344546,0.278881,0.863028,25,8,0.999483,0.316227,0.261582,0.945364,20,15
76,1000,gaussianas,0.999945,0.999619,0.245341,0.19033,1.157625,21,20,0.999945,0.093275,0.072359,0.415533,25,8,0.999367,0.31631,0.263919,0.691309,15,10
77,1000,gaussianas,1.0,0.999925,0.09437,0.079512,0.267833,21,20,1.0,0.007697,0.006196,0.023968,25,8,0.999159,0.316233,0.273454,0.663944,14,9
78,1000,gaussianas,0.999755,0.996664,0.845347,0.732395,2.253995,19,18,0.999755,0.229061,0.129606,1.705479,25,8,0.999533,0.316227,0.254347,0.732801,21,16
79,1000,gaussianas,1.0,0.999976,0.060263,0.050146,0.14277,21,20,1.0,0.003757,0.002946,0.011115,25,8,0.999349,0.316112,0.277698,1.023876,11,6
80,1000,spline,0.999101,0.991214,0.988565,0.778602,2.377617,20,19,0.991952,0.946151,0.404215,7.573734,25,8,0.999101,0.316224,0.253684,0.795311,21,16
81,1000,gaussianas,1.0,0.999955,0.106376,0.07999,0.298975,21,20,1.0,0.010136,0.006317,0.085041,25,8,0.999605,0.316219,0.251318,0.856046,14,9
82,1000,gaussianas,0.999989,0.999623,0.407016,0.32958,1.023556,21,20,0.999989,0.070956,0.056404,0.318398,25,8,0.999773,0.316227,0.268716,0.753033,15,10
83,1000,gaussianas,0.999987,0.999944,0.166876,0.126406,0.440513,21,20,0.999987,0.080824,0.04521,0.76408,25,8,0.999797,0.316176,0.262713,0.695888,17,12
84,1000,gaussianas,0.999185,0.995184,0.634653,0.511096,2.084359,21,20,0.999185,0.261156,0.198722,1.465604,25,8,0.998804,0.316223,0.267411,0.669866,21,16
85,1000,gaussianas,0.99973,0.999067,0.339161,0.27021,0.904511,21,20,0.99973,0.182532,0.135362,1.630826,25,8,0.999189,0.316217,0.264929,0.635282,16,11
86,1000,gaussianas,0.999823,0.990155,1.883286,1.534172,4.736934,21,20,0.999823,0.252213,0.194683,0.685073,25,8,0.999722,0.316377,0.271727,0.664216,23,18
87,1000,gaussianas,0.999872,0.971848,1.819305,1.527316,3.543676,20,19,0.999872,0.122758,0.092174,0.602555,25,8,0.999149,0.316262,0.251084,0.894867,17,12
88,1000,gaussianas,1.0,0.999996,0.036943,0.02938,0.170093,21,20,1.0,0.007174,0.005309,0.020216,25,8,0.999732,0.316178,0.277497,0.57936,14,9
89,1000,gaussianas,0.999394,0.996694,0.717006,0.598258,1.632668,19,18,0.999394,0.306905,0.23649,1.028162,25,8,0.999357,0.31624,0.258221,0.686161,26,21
90,1000,gaussianas,0.99998,0.999935,0.148468,0.123137,0.623562,21,20,0.99998,0.082831,0.054081,0.60359,25,8,0.999705,0.316382,0.25449,1.104683,16,11
91,1000,gaussianas,1.0,0.999991,0.061186,0.052463,0.253146,21,20,1.0,0.005249,0.004002,0.013356,25,8,0.999772,0.316225,0.24679,0.787457,12,7
92,1000,gaussianas,0.999994,0.999863,0.339526,0.259366,0.995883,17,16,0.999994,0.073441,0.062161,0.249839,25,8,0.999881,0.316223,0.267421,0.732935,19,14
93,1000,gaussianas,0.999954,0.999412,0.444807,0.375184,1.407976,18,17,0.999954,0.124442,0.104286,0.316075,25,8,0.999703,0.316242,0.264159,0.938815,20,15
94,1000,gaussianas,0.999929,0.998406,0.754266,0.611149,2.483036,21,20,0.999929,0.159642,0.119578,1.192852,25,8,0.99972,0.316227,0.25682,0.742172,20,15
95,1000,polinomio,1.0,1.0,0.004706,0.003766,0.016349,21,20,1.0,0.001752,0.001449,0.006781,25,8,0.999655,0.257786,0.227214,0.415884,7,2
96,1000,gaussianas,0.999958,0.997357,0.813628,0.611198,2.162644,21,20,0.999958,0.103012,0.079632,0.311059,25,8,0.999601,0.31625,0.227847,0.832601,20,15
97,1000,gaussianas,0.999865,0.999227,0.605285,0.502648,1.351774,21,20,0.999865,0.25249,0.189126,0.892904,25,8,0.999789,0.31623,0.259552,0.909887,21,16
98,1000,polinomio,0.999991,0.999991,0.027163,0.018688,0.07701,21,20,0.999929,0.077661,0.041073,0.88153,22,7,0.998817,0.316284,0.254798,0.826711,12,7
99,1000,gaussianas,1.0,0.999996,0.030141,0.024139,0.17279,21,20,1.0,0.007127,0.005598,0.022437,25,8,0.999532,0.316313,0.255485,0.74127,12,7
100,1000,gaussianas,0.999829,0.999613,0.257455,0.19536,0.718129,21,20,0.999829,0.170963,0.113603,0.420083,25,8,0.999416,0.316233,0.261507,0.886769,16,11
101,1000,spline,0.99903,0.998779,0.354811,0.290374,1.419004,21,20,0.999007,0.319965,0.249334,0.936508,22,7,0.99903,0.31628,0.248704,0.772023,17,12
102,1000,polinomio,0.999967,0.999967,0.056087,0.045121,0.245502,19,18,0.999951,0.068645,0.032948,0.859992,25,8,0.998955,0.316201,0.26018,0.694804,12,7
103,1000,polinomio,1.0,1.0,0.003562,0.002729,0.010495,19,18,1.0,0.000785,0.000615,0.00351,25,8,0.998671,0.316153,0.277484,0.926608,8,3
104,1000,gaussianas,0.999992,0.999892,0.098383,0.076019,0.253883,17,16,0.999992,0.026394,0.019576,0.080751,25,8,0.998884,0.316253,0.280107,0.758607,14,9
105,1000,gaussianas,0.999583,0.994237,1.107399,0.843806,2.772917,15,14,0.999583,0.297722,0.178966,2.782795,25,8,0.99953,0.316227,0.262011,0.787462,19,14
106,1000,gaussianas,1.0,0.999962,0.09435,0.072543,0.229689,20,19,1.0,0.007313,0.00561,0.022812,25,8,0.999574,0.316229,0.245478,0.666532,11,6
107,1000,gaussianas,1.0,0.999999,0.02439,0.019845,0.075772,21,20,1.0,0.003026,0.002356,0.00854,25,8,0.999801,0.316133,0.24817,0.691352,8,3
108,1000,spline,0.999603,0.999279,0.426414,0.343721,1.615142,21,20,0.999452,0.371739,0.221608,3.178823,25,8,0.999603,0.316216,0.257511,1.143731,17,12
109,1000,gaussianas,1.0,0.999982,0.077929,0.065774,0.183502,19,18,1.0,0.005265,0.003984,0.014,25,8,0.99971,0.316228,0.258454,0.782446,12,7
110,1000,polinomio,1.0,1.0,0.004948,0.004158,0.019868,21,20,1.0,0.014387,0.007466,0.155909,25,8,0.999789,0.316262,0.273804,0.733083,8,3
111,1000,gaussianas,0.999972,0.999939,0.123596,0.105565,0.32374,21,20,0.999972,0.083805,0.043977,0.784954,25,8,0.999598,0.316298,0.269255,0.72084,11,6
112,1000,gaussianas,0.999809,0.999312,0.416587,0.336482,1.065569,21,20,0.999809,0.219494,0.153314,1.948893,25,8,0.999604,0.316156,0.251837,0.841044,17,12
113,1000,spline,0.999399,0.997676,0.622041,0.510761,2.38398,21,20,0.998221,0.544324,0.338791,3.879478,25,8,0.999399,0.316236,0.240957,0.981417,19,14
114,1000,gaussianas,0.999858,0.997717,0.986235,0.719217,2.576221,21,20,0.999858,0.245957,0.199537,0.559113,25,8,0.999765,0.316203,0.260807,1.005014,19,14
115,1000,polinomio,1.0,1.0,0.001245,0.001018,0.003268,21,20,1.0,0.000575,0.00042,0.001856,25,8,0.999871,0.119189,0.105321,0.299129,7,2
116,1000,gaussianas,0.999994,0.999552,0.275894,0.243834,0.710206,21,20,0.999994,0.032801,0.026895,0.156174,25,8,0.999411,0.316229,0.270958,0.672463,16,11
117,1000,spline,0.999514,0.997165,0.763411,0.614102,2.049696,21,20,0.99946,0.33318,0.245427,1.191555,25,8,0.999514,0.316268,0.264549,0.759816,26,21
118,1000,gaussianas,0.999992,0.999899,0.157591,0.119599,0.508474,19,18,0.999992,0.044625,0.032853,0.394035,25,8,0.999593,0.316228,0.254776,0.87593,16,11
119,1000,gaussianas,0.999999,0.999986,0.067942,0.050342,0.17807,21,20,0.999999,0.017096,0.013072,0.043295,25,8,0.999702,0.316242,0.263414,0.663692,16,11
120,1000,gaussianas,0.99995,0.999946,0.169975,0.135488,0.539638,19,18,0.99995,0.163463,0.109874,1.214201,25,8,0.999813,0.316227,0.206874,0.979803,18,13
121,1000,gaussianas,0.999558,0.988971,0.938983,0.790317,3.561106,21,20,0.999558,0.188008,0.156747,0.411948,25,8,0.99875,0.316082,0.267559,0.695806,21,16
122,1000,gaussianas,0.999261,0.984211,1.44192,1.244719,4.434584,21,20,0.999261,0.311895,0.248268,1.86004,25,8,0.99924,0.316373,0.246139,1.083657,22,17
123,1000,gaussianas,0.999928,0.99619,0.686687,0.565011,2.137057,21,20,0.999928,0.094275,0.071845,0.273478,25,8,0.999192,0.316232,0.257148,0.879344,16,11
124,1000,gaussianas,1.0,0.999995,0.040052,0.028109,0.229872,17,16,1.0,0.009787,0.007524,0.029765,25,8,0.999682,0.316216,0.251047,0.896884,10,5
